"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX11359391","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1446.38","1","9890240","1997828480","NT.t1.R2","WGS","METAGENOMIC","PCR"
"SRX11359390","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1385.75","1","9689373","1957253346","NT.t1.R1","WGS","METAGENOMIC","PCR"
"SRX11359389","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","75.01","1","484369","97842538","35m.t1.R3","WGS","METAGENOMIC","PCR"
"SRX11359388","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","4304.03","1","43348972","8756492344","NT.t0.R3","WGS","METAGENOMIC","PCR"
"SRX11359387","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","3489.28","1","35067058","7083545716","NT.t0.R2","WGS","METAGENOMIC","PCR"
"SRX11359386","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","3732.91","1","37355538","7545818676","NT.t0.R1","WGS","METAGENOMIC","PCR"
"SRX11359385","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","24.09","1","224494","45347788","CTRL.R3","WGS","METAGENOMIC","PCR"
"SRX11359384","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","5.45","1","45033","9096666","CTRL.R2","WGS","METAGENOMIC","PCR"
"SRX11359383","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","6.97","1","58780","11873560","CTRL.R1","WGS","METAGENOMIC","PCR"
"SRX11359382","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1143.44","1","7701300","1555662600","83m.t2.R4","WGS","METAGENOMIC","PCR"
"SRX11359381","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1022.39","1","8165264","1649383328","83m.t2.R3","WGS","METAGENOMIC","PCR"
"SRX11359380","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","809.97","1","6527883","1318632366","83m.t2.R2","WGS","METAGENOMIC","PCR"
"SRX11359379","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","855.03","1","6809263","1375471126","83m.t2.R1","WGS","METAGENOMIC","PCR"
"SRX11359378","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1753.63","1","11411989","2305221778","35m.t1.R2","WGS","METAGENOMIC","PCR"
"SRX11359377","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1001.6","1","7970387","1610018174","83m.t1.R4","WGS","METAGENOMIC","PCR"
"SRX11359376","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","130.85","1","857595","173234190","83m.t1.R3","WGS","METAGENOMIC","PCR"
"SRX11359375","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","66.25","1","426051","86062302","83m.t1.R2","WGS","METAGENOMIC","PCR"
"SRX11359374","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","586.16","1","3804108","768429816","83m.t1.R1","WGS","METAGENOMIC","PCR"
"SRX11359373","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","4362.9","1","43148610","8716019220","83m.t0.R3","WGS","METAGENOMIC","PCR"
"SRX11359372","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","3646.99","1","36729271","7419312742","83m.t0.R2","WGS","METAGENOMIC","PCR"
"SRX11359371","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","4535.43","1","45855218","9262754036","83m.t0.R1","WGS","METAGENOMIC","PCR"
"SRX11359370","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","4969.68","1","31913269","6446480338","60m.t2.R4","WGS","METAGENOMIC","PCR"
"SRX11359369","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2556.95","1","16566301","3346392802","60m.t2.R3","WGS","METAGENOMIC","PCR"
"SRX11359368","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","371.43","1","2558532","516823464","60m.t2.R2","WGS","METAGENOMIC","PCR"
"SRX11359367","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","351.75","1","2303030","465212060","35m.t1.R1","WGS","METAGENOMIC","PCR"
"SRX11359366","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2395.24","1","15347283","3100151166","60m.t2.R1","WGS","METAGENOMIC","PCR"
"SRX11359365","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2440.13","1","15736113","3178694826","60m.t1.R4","WGS","METAGENOMIC","PCR"
"SRX11359364","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2169.95","1","14022135","2832471270","60m.t1.R3","WGS","METAGENOMIC","PCR"
"SRX11359363","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2157.16","1","13780499","2783660798","60m.t1.R2","WGS","METAGENOMIC","PCR"
"SRX11359362","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1577.61","1","10118037","2043843474","60m.t1.R1","WGS","METAGENOMIC","PCR"
"SRX11359361","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1680.45","1","16396222","3312036844","60m.t0.R3","WGS","METAGENOMIC","PCR"
"SRX11359360","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2903.78","1","28696179","5796628158","60m.t0.R2","WGS","METAGENOMIC","PCR"
"SRX11359359","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","5867.29","1","56705467","11454504334","60m.t0.R1","WGS","METAGENOMIC","PCR"
"SRX11359358","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","6687.65","1","45808265","9253269530","45m.t2.R4","WGS","METAGENOMIC","PCR"
"SRX11359357","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2647.49","1","17131973","3460658546","45m.t2.R3","WGS","METAGENOMIC","PCR"
"SRX11359356","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2101.16","1","20122746","4064794692","35m.t0.R3","WGS","METAGENOMIC","PCR"
"SRX11359355","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2442.44","1","15833522","3198371444","45m.t2.R2","WGS","METAGENOMIC","PCR"
"SRX11359354","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2457.67","1","15737477","3178970354","45m.t2.R1","WGS","METAGENOMIC","PCR"
